j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
234;432,1;3,5;188,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
235;459,8;3,3;188,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
236;483,8;3,2;188,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
237;405,3;3,1;187,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
238;406,4;3,0;186,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
239;406;2,8;184,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
240;471,5;2,6;173,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
241;461,5;1,9;173,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
242;456,8;1,6;172,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
243;456,7;1,2;171,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
244;449,1;1,1;171,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
245;451,5;0,8;173,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
246;454,8;0,7;181,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
247;455,7;0,6;229,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
248;454,9;0,8;240,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
249;447,9;1,2;266,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
250;416,7;1,6;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
251;417,3;1,7;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
252;441,4;1,7;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
253;443,8;1,6;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
254;459,6;1,5;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
255;473,5;1,6;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
256;487,1;1,5;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
257;407,5;1,2;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
258;415,8;1,2;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
259;417,6;1,3;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
260;420,9;1,3;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
261;417,6;1,5;231,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
262;407,3;1,7;211,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
263;404,5;1,7;217,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
264;480,6;1,8;184,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
