j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
97;428,7;2,7;187,1;1;1;1;1;42066,70;428,70;213,86;0,00;2580,67;0,00;0,00;220,00;208,70;0,00;0,00;0,00;0,00;110,00;103,86;0,00;0,00;1322,82;1257,85;0,00;0,00;0,00;0,00
98;444,4;3;194,6;1;1;1;1;45493,57;444,40;222,39;0,00;2670,94;0,00;0,00;220,00;224,40;0,00;0,00;0,00;0,00;110,00;112,39;0,00;0,00;1322,82;1348,12;0,00;0,00;0,00;0,00
99;462,1;3,4;168,9;1;1;1;1;41586,16;462,10;232,00;0,00;2772,72;0,00;0,00;220,00;242,10;0,00;0,00;0,00;0,00;110,00;122,00;0,00;0,00;1322,82;1449,90;0,00;0,00;0,00;0,00
100;448,4;3;176,2;1;1;1;1;41826,04;448,40;224,56;0,00;2693,94;0,00;0,00;220,00;228,40;0,00;0,00;0,00;0,00;110,00;114,56;0,00;0,00;1322,82;1371,12;0,00;0,00;0,00;0,00
101;427,9;2,7;175,8;1;1;1;1;39565,34;427,90;213,43;0,00;2576,07;0,00;0,00;220,00;207,90;0,00;0,00;0,00;0,00;110,00;103,43;0,00;0,00;1322,82;1253,25;0,00;0,00;0,00;0,00
102;415,7;3;207,4;1;1;1;1;44808,29;415,70;206,80;0,00;2505,92;0,00;0,00;220,00;195,70;0,00;0,00;0,00;0,00;110,00;96,80;0,00;0,00;1322,82;1183,10;0,00;0,00;0,00;0,00
103;418,1;3,1;260,2;1;1;1;1;56091,51;418,10;208,10;0,00;2519,72;0,00;0,00;220,00;198,10;0,00;0,00;0,00;0,00;110,00;98,10;0,00;0,00;1322,82;1196,90;0,00;0,00;0,00;0,00
104;391,2;3,6;231,2;1;1;1;1;46398,37;391,20;193,49;0,00;2365,04;0,00;0,00;220,00;171,20;0,00;0,00;0,00;0,00;110,00;83,49;0,00;0,00;1322,82;1042,22;0,00;0,00;0,00;0,00
105;361,1;3,8;256,2;1;1;1;1;46733,59;361,10;177,14;0,00;2191,97;0,00;0,00;220,00;141,10;0,00;0,00;0,00;0,00;110,00;67,14;0,00;0,00;1322,82;869,15;0,00;0,00;0,00;0,00
106;363,4;4,2;309;1;1;1;1;56496,60;363,40;178,39;0,00;2205,19;0,00;0,00;220,00;143,40;0,00;0,00;0,00;0,00;110,00;68,39;0,00;0,00;1322,82;882,37;0,00;0,00;0,00;0,00
107;367,5;4,9;342,9;1;1;1;1;63350,36;367,50;180,62;0,00;2228,77;0,00;0,00;220,00;147,50;0,00;0,00;0,00;0,00;110,00;70,62;0,00;0,00;1322,82;905,95;0,00;0,00;0,00;0,00
108;362,6;5,3;363,9;1;1;1;1;66123,76;362,60;177,96;0,00;2200,59;0,00;0,00;220,00;142,60;0,00;0,00;0,00;0,00;110,00;67,96;0,00;0,00;1322,82;877,77;0,00;0,00;0,00;0,00
109;356,9;5;361,1;1;1;1;1;64448,13;356,90;174,86;0,00;2167,82;0,00;0,00;220,00;136,90;0,00;0,00;0,00;0,00;110,00;64,86;0,00;0,00;1322,82;845,00;0,00;0,00;0,00;0,00
110;324;4,1;377,2;1;1;1;1;60180,03;324,00;156,99;0,00;1978,64;0,00;0,00;220,00;104,00;0,00;0,00;0,00;0,00;110,00;46,99;0,00;0,00;1322,82;655,82;0,00;0,00;0,00;0,00
111;288,6;4,3;353,9;1;1;1;1;49348,69;288,60;137,76;0,00;1775,09;0,00;0,00;220,00;68,60;0,00;0,00;0,00;0,00;110,00;27,76;0,00;0,00;1322,82;452,27;0,00;0,00;0,00;0,00
112;270,8;4,2;362,9;1;1;1;1;46894,47;270,80;128,09;0,00;1672,74;0,00;0,00;220,00;50,80;0,00;0,00;0,00;0,00;110,00;18,09;0,00;0,00;1322,82;349,92;0,00;0,00;0,00;0,00
113;236,7;4,4;386,8;1;1;1;1;42436,28;236,70;109,57;0,00;1476,67;0,00;0,00;220,00;16,70;0,00;0,00;0,00;0,00;110,00;-0,43;0,00;0,00;1322,82;153,85;0,00;0,00;0,00;0,00
114;248,1;4,4;424,2;1;1;1;1;49279,48;248,10;115,76;0,00;1542,22;0,00;0,00;220,00;28,10;0,00;0,00;0,00;0,00;110,00;5,76;0,00;0,00;1322,82;219,40;0,00;0,00;0,00;0,00
115;268,9;4,5;369,9;1;1;1;1;47389,55;268,90;127,06;0,00;1661,82;0,00;0,00;220,00;48,90;0,00;0,00;0,00;0,00;110,00;17,06;0,00;0,00;1322,82;339,00;0,00;0,00;0,00;0,00
116;324;4,5;407,4;1;1;1;1;64921,06;324,00;156,99;0,00;1978,64;0,00;0,00;220,00;104,00;0,00;0,00;0,00;0,00;110,00;46,99;0,00;0,00;1322,82;655,82;0,00;0,00;0,00;0,00
