j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
65;466,1;4,2;233,6;1;1;1;1;57146,06;466,10;234,18;0,00;2795,72;0,00;0,00;466,10;0,00;0,00;0,00;0,00;0,00;243,68;-9,51;0,00;0,00;2737,90;57,82;0,00;0,00;0,00;0,00
66;462,8;4,5;233,6;1;1;1;1;56692,99;462,80;232,39;0,00;2776,74;0,00;0,00;462,80;0,00;0,00;0,00;0,00;0,00;241,89;-9,51;0,00;0,00;2718,92;57,82;0,00;0,00;0,00;0,00
67;440,8;5,0;233,6;1;1;1;1;53672,52;440,80;220,43;0,00;2650,24;0,00;0,00;440,80;0,00;0,00;0,00;0,00;0,00;229,94;-9,51;0,00;0,00;2592,42;57,82;0,00;0,00;0,00;0,00
68;401,8;5,2;233,6;1;1;1;1;48318,07;401,80;199,25;0,00;2425,99;0,00;0,00;401,80;0,00;0,00;0,00;0,00;0,00;208,76;-9,51;0,00;0,00;2368,17;57,82;0,00;0,00;0,00;0,00
69;393,3;4,8;233,6;1;1;1;1;47151,07;393,30;194,63;0,00;2377,12;0,00;0,00;393,30;0,00;0,00;0,00;0,00;0,00;204,14;-9,51;0,00;0,00;2319,30;57,82;0,00;0,00;0,00;0,00
70;390,1;4,2;186,6;1;1;1;1;37645,72;390,10;192,89;0,00;2358,72;0,00;0,00;390,10;0,00;0,00;0,00;0,00;0,00;202,40;-9,51;0,00;0,00;2300,90;57,82;0,00;0,00;0,00;0,00
71;388,5;3,8;183,4;1;1;1;1;36852,42;388,50;192,02;0,00;2349,52;0,00;0,00;388,50;0,00;0,00;0,00;0,00;0,00;201,53;-9,51;0,00;0,00;2291,70;57,82;0,00;0,00;0,00;0,00
72;363,6;3,4;170,2;1;1;1;1;31756,62;363,60;178,50;0,00;2206,34;0,00;0,00;363,60;0,00;0,00;0,00;0,00;0,00;188,00;-9,51;0,00;0,00;2148,52;57,82;0,00;0,00;0,00;0,00
73;332;5,0;172,7;1;1;1;1;28909,76;332,00;161,33;0,00;2024,64;0,00;0,00;332,00;0,00;0,00;0,00;0,00;0,00;170,84;-9,51;0,00;0,00;1966,82;57,82;0,00;0,00;0,00;0,00
74;327,8;5,0;170,1;1;1;1;1;28058,53;327,80;159,05;0,00;2000,49;0,00;0,00;327,80;0,00;0,00;0,00;0,00;0,00;168,56;-9,51;0,00;0,00;1942,67;57,82;0,00;0,00;0,00;0,00
75;331,5;5,1;167,8;1;1;1;1;28068,45;331,50;161,06;0,00;2021,77;0,00;0,00;331,50;0,00;0,00;0,00;0,00;0,00;170,57;-9,51;0,00;0,00;1963,95;57,82;0,00;0,00;0,00;0,00
76;345,1;4,6;167,8;1;1;1;1;29449,54;345,10;168,45;0,00;2099,97;0,00;0,00;345,10;0,00;0,00;0,00;0,00;0,00;177,96;-9,51;0,00;0,00;2042,15;57,82;0,00;0,00;0,00;0,00
77;387,2;4,1;170,1;1;1;1;1;34164,85;387,20;191,32;0,00;2342,04;0,00;0,00;387,20;0,00;0,00;0,00;0,00;0,00;200,82;-9,51;0,00;0,00;2284,22;57,82;0,00;0,00;0,00;0,00
78;403;4,7;172,7;1;1;1;1;36308,83;403,00;199,90;0,00;2432,89;0,00;0,00;403,00;0,00;0,00;0,00;0,00;0,00;209,41;-9,51;0,00;0,00;2375,07;57,82;0,00;0,00;0,00;0,00
79;421,2;4,3;186,8;1;1;1;1;41163,50;421,20;209,79;0,00;2537,54;0,00;0,00;421,20;0,00;0,00;0,00;0,00;0,00;219,29;-9,51;0,00;0,00;2479,72;57,82;0,00;0,00;0,00;0,00
80;434,5;4,1;211,4;1;1;1;1;47989,90;434,50;217,01;0,00;2614,02;0,00;0,00;434,50;0,00;0,00;0,00;0,00;0,00;226,52;-9,51;0,00;0,00;2556,20;57,82;0,00;0,00;0,00;0,00
81;430,1;4,2;211,6;1;1;1;1;47481,79;430,10;214,62;0,00;2588,72;0,00;0,00;430,10;0,00;0,00;0,00;0,00;0,00;224,13;-9,51;0,00;0,00;2530,90;57,82;0,00;0,00;0,00;0,00
82;422;4,5;232,1;1;1;1;1;50776,07;422,00;210,22;0,00;2542,14;0,00;0,00;422,00;0,00;0,00;0,00;0,00;0,00;219,73;-9,51;0,00;0,00;2484,32;57,82;0,00;0,00;0,00;0,00
83;366,7;5,0;226,3;1;1;1;1;42183,72;366,70;180,18;0,00;2224,17;0,00;0,00;366,70;0,00;0,00;0,00;0,00;0,00;189,69;-9,51;0,00;0,00;2166,35;57,82;0,00;0,00;0,00;0,00
84;336,5;5,7;232,0;1;1;1;1;39090,73;336,50;163,78;0,00;2050,52;0,00;0,00;336,50;0,00;0,00;0,00;0,00;0,00;173,28;-9,51;0,00;0,00;1992,70;57,82;0,00;0,00;0,00;0,00
85;275;6,3;232,0;1;1;1;1;30700,62;275,00;130,37;0,00;1696,89;0,00;0,00;275,00;0,00;0,00;0,00;0,00;0,00;139,88;-9,51;0,00;0,00;1639,07;57,82;0,00;0,00;0,00;0,00
86;265,4;6,5;232,9;1;1;1;1;29503,58;265,40;125,16;0,00;1641,69;0,00;0,00;265,40;0,00;0,00;0,00;0,00;0,00;134,66;-9,51;0,00;0,00;1583,87;57,82;0,00;0,00;0,00;0,00
87;280,5;6,5;232,9;1;1;1;1;31570,97;280,50;133,36;0,00;1728,52;0,00;0,00;280,50;0,00;0,00;0,00;0,00;0,00;142,86;-9,51;0,00;0,00;1670,70;57,82;0,00;0,00;0,00;0,00
88;353,8;6,0;232,9;1;1;1;1;41606,74;353,80;173,18;0,00;2149,99;0,00;0,00;353,80;0,00;0,00;0,00;0,00;0,00;182,68;-9,51;0,00;0,00;2092,17;57,82;0,00;0,00;0,00;0,00
